void_threshold_mpc,max_redshift,use_footprint,n_total,n_void,n_wall,n_cluster,median_void_distance,median_angular_sep,t_statistic,p_value,cohens_d,significant,void_mean,void_sem,wall_mean,wall_sem,cluster_mean,cluster_sem
10.0,0.1,False,628,171,45,412,93.17296718502004,22.256799018313252,-1.7859728563966513,0.07462506359465959,0.16246599260376135,False,-0.1646588338953245,0.012069818422154063,-0.1577455771663493,0.021208999739814702,-0.13616221653786775,0.00895588876030523
10.0,0.11,False,643,175,47,421,106.26126001708568,21.68976178797301,-1.9507397076377493,0.05155786393018517,0.1754536396740036,False,-0.16704090663697746,0.011620833146729273,-0.13487130380432297,0.023175871579927804,-0.13665196791691156,0.008786566907047724
10.0,0.12,False,652,176,47,429,107.75781459325476,24.540940243516765,-1.920591666374874,0.055254485388740116,0.17192053240590344,False,-0.16736846893795798,0.011559421345905867,-0.13487130380432297,0.023175871579927804,-0.13773190527053059,0.008653054386546547
10.0,0.13,False,674,177,48,449,131.00103572504068,28.741584573088964,-1.89944829566868,0.057966408476983575,0.16857953018686891,False,-0.16749471968013033,0.011494803308432902,-0.13705748636623807,0.022795919147290084,-0.13866212312979576,0.00836712100881268
10.0,0.14,False,692,178,48,466,162.3197868833691,35.536234436548,-2.004210761695998,0.04546705054099355,0.17659701722561144,True,-0.1680326937946324,0.011442807836330074,-0.13705748636623807,0.022795919147290084,-0.13800996964054593,0.008145094803607578
10.0,0.15,False,713,178,48,487,178.42875778761476,41.951291952150434,-2.04653002642401,0.04109809097925666,0.17924805910435818,True,-0.1680326937946324,0.011442807836330074,-0.13705748636623807,0.022795919147290084,-0.1377455409522113,0.007894228090110108
15.0,0.1,False,628,171,55,402,93.17296718502004,22.256799018313252,-1.7822447893265023,0.07524059338136747,0.1627172451477997,False,-0.1646588338953245,0.012069818422154063,-0.15515620753046114,0.01861894918335349,-0.135979584009731,0.009132487775398072
15.0,0.11,False,643,175,55,413,106.26126001708568,21.68976178797301,-1.9467482800705025,0.052042364440849885,0.17559187346835983,False,-0.16704090663697746,0.011620833146729273,-0.1360464735262189,0.020834365453299114,-0.1365299606001959,0.008915289158562451
15.0,0.12,False,652,176,55,421,107.75781459325476,24.540940243516765,-1.9156889418783534,0.05588366437380189,0.1719549871632936,False,-0.16736846893795798,0.011559421345905867,-0.1360464735262189,0.020834365453299114,-0.13763273775752674,0.008776969507946368
15.0,0.13,False,674,177,56,441,131.00103572504068,28.741584573088964,-1.8940530952688068,0.05868616562583093,0.16853125656243229,False,-0.16749471968013033,0.011494803308432902,-0.13789935911996945,0.020544550358280147,-0.13858432771006673,0.00848071331939315
